repo_id,repo_name,org_id,org_login,repo_language,repo_license,org_type
28457823,freeCodeCamp/freeCodeCamp,9892522,freeCodeCamp,TypeScript,"BSD 3-Clause ""New"" or ""Revised"" License",组织用户
13491895,EbookFoundation/free-programming-books,14127308,EbookFoundation,,Other,组织用户
54346799,public-apis/public-apis,51121562,public-apis,Python,MIT License,组织用户
11730342,vuejs/vue,6128107,vuejs,TypeScript,MIT License,组织用户
10270250,facebook/react,69631,facebook,JavaScript,MIT License,组织用户
132750724,codecrafters-io/build-your-own-x,58904235,codecrafters-io,,,组织用户
45717250,tensorflow/tensorflow,15658638,tensorflow,C++,Apache License 2.0,组织用户
2126244,twbs/bootstrap,2918581,twbs,JavaScript,MIT License,组织用户
291137,ohmyzsh/ohmyzsh,22552083,ohmyzsh,Shell,MIT License,组织用户
63476337,TheAlgorithms/Python,20487725,TheAlgorithms,Python,MIT License,组织用户
31792824,flutter/flutter,14101776,flutter,Dart,"BSD 3-Clause ""New"" or ""Revised"" License",组织用户
1062897,github/gitignore,9919,github,,Creative Commons Zero v1.0 Universal,组织用户
41881900,microsoft/vscode,6154722,microsoft,TypeScript,MIT License,组织用户
6498492,airbnb/javascript,698437,airbnb,JavaScript,MIT License,组织用户
19415064,ossu/computer-science,14957346,ossu,,MIT License,组织用户
1039520,ytdl-org/youtube-dl,48381040,ytdl-org,Python,The Unlicense,组织用户
36633370,awesome-selfhosted/awesome-selfhosted,24270415,awesome-selfhosted,JavaScript,Other,组织用户
23096959,golang/go,4314092,golang,Go,Other,组织用户
29028775,facebook/react-native,69631,facebook,JavaScript,Other,组织用户
9384267,electron/electron,13409222,electron,C++,MIT License,组织用户
112507086,30-seconds/30-seconds-of-code,43479428,30-seconds,JavaScript,Creative Commons Zero v1.0 Universal,组织用户
943149,d3/d3,1562726,d3,JavaScript,ISC License,组织用户
63537249,facebook/create-react-app,69631,facebook,JavaScript,MIT License,组织用户
70107786,vercel/next.js,14985020,vercel,JavaScript,MIT License,组织用户
23088740,axios/axios,32372333,axios,JavaScript,MIT License,组织用户
20580498,kubernetes/kubernetes,13629408,kubernetes,Go,Apache License 2.0,组织用户
27193779,nodejs/node,9950313,nodejs,JavaScript,Other,组织用户
20929025,microsoft/TypeScript,6154722,microsoft,TypeScript,Apache License 2.0,组织用户
133442384,denoland/deno,42048915,denoland,TypeScript,MIT License,组织用户
100060912,microsoft/terminal,6154722,microsoft,C++,MIT License,组织用户
24195339,angular/angular,139426,angular,TypeScript,MIT License,组织用户
88011908,practical-tutorials/project-based-learning,89421154,practical-tutorials,,MIT License,组织用户
184456251,microsoft/PowerToys,6154722,microsoft,C++,MIT License,组织用户
23083156,mui/material-ui,33663932,mui,JavaScript,MIT License,组织用户
34526884,ant-design/ant-design,12101536,ant-design,TypeScript,MIT License,组织用户
90796663,puppeteer/puppeteer,6906516,puppeteer,TypeScript,Apache License 2.0,组织用户
155220641,huggingface/transformers,25720743,huggingface,Python,Apache License 2.0,组织用户
2561582,animate-css/animate.css,64791939,animate-css,CSS,Other,组织用户
724712,rust-lang/rust,5430905,rust-lang,Rust,Other,组织用户
54173593,storybookjs/storybook,22632046,storybookjs,TypeScript,MIT License,组织用户
51117837,tensorflow/models,15658638,tensorflow,Python,Other,组织用户
111583593,Genymobile/scrcpy,3427627,Genymobile,C,Apache License 2.0,组织用户
1863329,laravel/laravel,958072,laravel,PHP,,组织用户
52631841,gothinkster/realworld,8601733,gothinkster,TypeScript,MIT License,组织用户
3470471,FortAwesome/Font-Awesome,1505683,FortAwesome,JavaScript,Other,组织用户
4164482,django/django,27804,django,Python,Other,组织用户
1181927,bitcoin/bitcoin,528860,bitcoin,C++,MIT License,组织用户
151834062,doocs/advanced-java,43716716,doocs,Java,Creative Commons Attribution Share Alike 4.0 International,组织用户
44571718,vuejs/awesome-vue,6128107,vuejs,,MIT License,组织用户
15204860,papers-we-love/papers-we-love,6187757,papers-we-love,Shell,,组织用户
5108051,opencv/opencv,5009934,opencv,C++,Other,组织用户
20904437,gin-gonic/gin,7894478,gin-gonic,Go,MIT License,组织用户
6296790,spring-projects/spring-boot,317776,spring-projects,Java,Apache License 2.0,组织用户
7691631,moby/moby,27259197,moby,Go,Apache License 2.0,组织用户
11180687,gohugoio/hugo,29385237,gohugoio,Go,Apache License 2.0,组织用户
74293321,sveltejs/svelte,23617963,sveltejs,TypeScript,MIT License,组织用户
101296881,mtdvio/every-programmer-should-know,33053074,mtdvio,,Creative Commons Attribution 4.0 International,组织用户
612230,nvm-sh/nvm,49963700,nvm-sh,Shell,MIT License,组织用户
106017343,tailwindlabs/tailwindcss,67109815,tailwindlabs,JavaScript,MIT License,组织用户
311525798,microsoft/Web-Dev-For-Beginners,6154722,microsoft,JavaScript,MIT License,组织用户
507775,elastic/elasticsearch,6764390,elastic,Java,Other,组织用户
3678731,webpack/webpack,2105791,webpack,JavaScript,MIT License,组织用户
10744183,netdata/netdata,43390781,netdata,C,GNU General Public License v3.0,组织用户
44838949,apple/swift,10639145,apple,C++,Apache License 2.0,组织用户
596892,pallets/flask,16748505,pallets,Python,"BSD 3-Clause ""New"" or ""Revised"" License",组织用户
65600975,pytorch/pytorch,21003710,pytorch,C++,Other,组织用户
16408992,neovim/neovim,6471485,neovim,Vim script,Other,组织用户
157616880,iptv-org/iptv,55937028,iptv-org,JavaScript,The Unlicense,组织用户
460078,angular/angular.js,139426,angular,JavaScript,MIT License,组织用户
237159,expressjs/express,5658226,expressjs,JavaScript,MIT License,组织用户
8843683,chartjs/Chart.js,10342521,chartjs,JavaScript,MIT License,组织用户
36535156,reduxjs/redux,13142323,reduxjs,TypeScript,Other,组织用户
3228505,atom/atom,1089146,atom,JavaScript,MIT License,组织用户
1334369,resume/resume.github.com,602612,resume,JavaScript,,组织用户
172953845,coder/code-server,95932066,coder,TypeScript,MIT License,组织用户
156018,redis/redis,1529926,redis,C,"BSD 3-Clause ""New"" or ""Revised"" License",组织用户
55076063,Hack-with-Github/Awesome-Hacking,18143746,Hack-with-Github,,Creative Commons Zero v1.0 Universal,组织用户
23357588,protocolbuffers/protobuf,26310541,protocolbuffers,C++,Other,组织用户
557980,socketio/socket.io,10566080,socketio,TypeScript,MIT License,组织用户
167174,jquery/jquery,70142,jquery,JavaScript,MIT License,组织用户
12888993,home-assistant/core,13844975,home-assistant,Python,Apache License 2.0,组织用户
33015583,keras-team/keras,34455048,keras-team,Python,Other,组织用户
15634981,godotengine/godot,6318500,godotengine,C++,Other,组织用户
196701619,tauri-apps/tauri,54536011,tauri-apps,Rust,Other,组织用户
3402537,h5bp/Front-end-Developer-Interview-Questions,1136800,h5bp,Nunjucks,MIT License,组织用户
3638964,ansible/ansible,1507452,ansible,Python,GNU General Public License v3.0,组织用户
3955647,lodash/lodash,2565403,lodash,JavaScript,Other,组织用户
7600409,shadowsocks/shadowsocks-windows,3006190,shadowsocks,C#,Other,组织用户
36040894,gatsbyjs/gatsby,12551863,gatsbyjs,JavaScript,MIT License,组织用户
3544424,httpie/httpie,24454777,httpie,Python,"BSD 3-Clause ""New"" or ""Revised"" License",组织用户
9185792,apache/incubator-echarts,47359,apache,TypeScript,Apache License 2.0,组织用户
486550,h5bp/html5-boilerplate,1136800,h5bp,JavaScript,MIT License,组织用户
15111821,grafana/grafana,7195757,grafana,TypeScript,GNU Affero General Public License v3.0,组织用户
80945428,nestjs/nest,28507035,nestjs,TypeScript,MIT License,组织用户
67274736,ElemeFE/element,12810740,ElemeFE,Vue,MIT License,组织用户
26066727,mermaid-js/mermaid,57169982,mermaid-js,JavaScript,MIT License,组织用户
843222,scikit-learn/scikit-learn,365630,scikit-learn,Python,"BSD 3-Clause ""New"" or ""Revised"" License",组织用户
26898879,awesomedata/awesome-public-datasets,35111974,awesomedata,,MIT License,组织用户
8514,rails/rails,4223,rails,Ruby,MIT License,组织用户
257485422,vitejs/vite,65625612,vitejs,TypeScript,MIT License,组织用户
43441403,strapi/strapi,19872173,strapi,JavaScript,Other,组织用户
9309093,Semantic-Org/Semantic-UI,5796209,Semantic-Org,JavaScript,MIT License,组织用户
1148753,spring-projects/spring-framework,317776,spring-projects,Java,Apache License 2.0,组织用户
39464018,apache/superset,47359,apache,TypeScript,Apache License 2.0,组织用户
81598961,python/cpython,1525981,python,Python,Other,组织用户
63477660,TheAlgorithms/Java,20487725,TheAlgorithms,Java,MIT License,组织用户
19872456,remix-run/react-router,64235328,remix-run,TypeScript,MIT License,组织用户
203587744,hoppscotch/hoppscotch,56705483,hoppscotch,Vue,MIT License,组织用户
47018239,DopplerHQ/awesome-interview-questions,34022344,DopplerHQ,,,组织用户
1362490,psf/requests,50630501,psf,Python,Apache License 2.0,组织用户
12256376,ionic-team/ionic-framework,3171503,ionic-team,TypeScript,Other,组织用户
14712850,syncthing/syncthing,7628018,syncthing,Go,Mozilla Public License 2.0,组织用户
22887094,tesseract-ocr/tesseract,8401422,tesseract-ocr,C++,Apache License 2.0,组织用户
1424470,moment/moment,4129662,moment,JavaScript,MIT License,组织用户
24953448,google/material-design-icons,1342004,google,,Apache License 2.0,组织用户
7508411,ReactiveX/RxJava,6407041,ReactiveX,Java,Apache License 2.0,组织用户
20300177,google/guava,1342004,google,Java,Apache License 2.0,组织用户
6838921,prometheus/prometheus,3380462,prometheus,Go,Apache License 2.0,组织用户
221981891,microsoft/playwright,6154722,microsoft,TypeScript,Apache License 2.0,组织用户
